"Series ID","Month","Value"
"IPUAN1111__L010000000","Annual 1, 2019","94.749"
"IPUAN1111__L010000000","Annual 1, 2018","96.179"
"IPUAN1111__L010000000","Annual 1, 2017","100.000"
"IPUAN1111__L010000000","Annual 1, 2016","101.392"
"IPUAN1111__L010000000","Annual 1, 2015","98.667"
"IPUAN1111__L010000000","Annual 1, 2014","104.083"
"IPUAN1111__L010000000","Annual 1, 2013","118.741"
"IPUAN1111__L010000000","Annual 1, 2012","108.876"
"IPUAN1111__L010000000","Annual 1, 2011","105.652"
"IPUAN1111__L010000000","Annual 1, 2010","99.593"
"IPUAN1111__L010000000","Annual 1, 2009","98.526"
"IPUAN1111__L010000000","Annual 1, 2008","95.823"
"IPUAN1111__L010000000","Annual 1, 2007","92.260"
"IPUAN1111__L010000000","Annual 1, 2006","78.822"
"IPUAN1111__L010000000","Annual 1, 2005","86.788"
"IPUAN1111__L010000000","Annual 1, 2004","94.184"
"IPUAN1111__L010000000","Annual 1, 2003","87.429"
"IPUAN1111__L010000000","Annual 1, 2002","90.116"
"IPUAN1111__L010000000","Annual 1, 2001","88.168"
"IPUAN1111__L010000000","Annual 1, 2000","91.275"
